0	1	37
0	10	15
0	99	10
0	99	10
1	0	37
1	110	12
1	21	12
1	65	12
1	70	12
2	114	12
2	144	19
2	51	15
2	67	11
3	144	27
3	144	27
4	5	10
4	8	22
5	11	11
5	144	16
5	4	10
6	11	39
6	7	25
7	144	51
7	6	25
8	13	15
8	4	22
8	96	12
9	13	30
9	13	30
10	0	15
10	101	21
10	11	25
10	13	35
10	97	14
10	97	14
10	98	54
10	98	54
11	10	25
11	5	11
11	6	39
12	141	71
12	30	54
13	10	35
13	119	19
13	8	15
13	9	30
13	9	30
14	141	15
14	17	34
15	132	36
15	18	95
15	19	21
16	51	13
16	60	58
17	133	6
17	133	6
17	134	28
17	136	30
17	14	34
17	143	18
18	142	41
18	15	95
19	15	21
19	49	61
20	23	23
21	1	12
21	81	53
22	23	27
23	151	50
23	151	50
23	20	23
23	22	27
24	81	35
25	81	37
26	81	42
27	81	41
28	140	16
28	29	12
29	28	12
30	118	66
30	119	62
30	12	54
31	119	16
31	119	16
32	33	44
32	35	15
33	32	44
33	38	63
33	74	62
34	119	10
34	119	10
35	32	15
35	74	21
36	39	33
36	73	52
37	73	52
38	33	63
38	74	37
39	124	21
39	36	33
40	142	48
41	142	89
42	142	2
43	142	52
44	142	24
45	49	31
46	142	18
47	142	4
48	49	38
49	129	45
49	19	61
49	45	31
49	48	38
50	51	28
50	52	28
50	53	15
50	56	52
50	58	22
51	127	95
51	127	95
51	136	30
51	16	13
51	2	15
51	50	28
51	53	29
51	92	21
52	50	28
53	50	15
53	51	29
53	92	87
54	139	51
54	140	17
54	55	45
55	140	17
55	54	45
56	50	52
56	57	39
56	57	39
56	59	41
57	56	39
57	56	39
58	50	22
58	59	25
59	56	41
59	58	25
60	128	59
60	144	59
60	16	58
61	81	47
62	115	56
62	140	57
62	94	57
63	125	20
63	126	12
64	126	20
64	72	4
65	1	12
65	152	61
65	66	12
66	152	11
66	65	12
66	68	19
67	152	23
67	2	11
67	69	12
68	108	81
68	66	19
68	81	23
69	152	30
69	67	12
70	1	12
70	152	11
70	71	11
71	152	49
71	70	11
71	87	12
72	152	39
72	64	4
73	117	53
73	120	52
73	36	52
73	37	52
74	117	74
74	125	22
74	33	62
74	35	21
74	38	37
75	140	46
75	150	32
76	140	26
76	77	11
77	150	12
77	76	11
78	115	65
78	142	49
78	94	59
79	122	48
79	137	46
79	84	48
80	137	30
80	151	30
81	107	39
81	21	53
81	24	35
81	25	37
81	26	42
81	27	41
81	61	47
81	68	23
81	93	18
82	123	27
82	138	26
82	83	15
82	84	12
83	82	15
84	79	48
84	82	12
85	123	93
86	121	27
86	122	21
86	151	55
87	152	62
87	71	12
87	88	12
87	89	10
88	152	44
88	87	12
89	152	89
89	87	10
90	138	75
91	140	58
91	150	11
92	51	21
92	53	87
93	81	18
94	62	57
94	78	59
95	107	34
96	103	12
96	152	23
96	8	12
97	10	14
97	10	14
97	100	99
97	100	99
98	10	54
98	10	54
98	101	16
99	0	10
99	0	10
99	102	13
99	102	13
100	113	12
100	97	99
100	97	99
101	10	21
101	104	64
101	104	64
101	98	16
102	99	13
102	99	13
103	152	16
103	96	12
104	101	64
104	101	64
105	106	23
105	108	36
106	105	23
106	152	14
107	111	69
107	81	39
107	95	34
108	105	36
108	68	81
109	112	47
109	152	45
110	1	12
110	152	14
111	107	69
111	112	60
112	109	47
112	111	60
113	100	12
113	152	35
114	152	18
114	2	12
115	139	20
115	62	56
115	78	65
116	142	76
117	118	11
117	73	53
117	74	74
118	117	11
118	139	39
118	30	66
119	13	19
119	30	62
119	31	16
119	31	16
119	34	10
119	34	10
120	73	52
121	148	96
121	86	27
122	79	48
122	86	21
123	124	11
123	139	39
123	145	17
123	82	27
123	85	93
124	123	11
124	39	21
125	63	20
125	74	22
126	63	12
126	64	20
127	51	95
127	51	95
128	60	59
129	131	15
129	49	45
130	143	22
131	129	15
131	143	25
132	143	15
132	15	36
133	17	6
133	17	6
134	135	33
134	17	28
135	134	33
135	136	30
136	135	30
136	17	30
136	51	30
137	79	46
137	80	30
138	152	12
138	82	26
138	90	75
139	115	20
139	118	39
139	123	39
139	146	20
139	149	11
139	54	51
140	142	32
140	28	16
140	54	17
140	55	17
140	62	57
140	75	46
140	76	26
140	91	58
141	12	71
141	14	15
142	116	76
142	140	32
142	18	41
142	40	48
142	41	89
142	42	2
142	43	52
142	44	24
142	46	18
142	47	4
142	78	49
143	130	22
143	131	25
143	132	15
143	17	18
144	2	19
144	3	27
144	3	27
144	5	16
144	60	59
144	7	51
145	123	17
146	139	20
146	147	92
147	146	92
148	121	96
148	149	25
149	139	11
149	148	25
150	75	32
150	77	12
150	91	11
151	23	50
151	23	50
151	80	30
151	86	55
152	103	16
152	106	14
152	109	45
152	110	14
152	113	35
152	114	18
152	138	12
152	65	61
152	66	11
152	67	23
152	69	30
152	70	11
152	71	49
152	72	39
152	87	62
152	88	44
152	89	89
152	96	23
